epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2,1.23371,3.84029,1.54473,0.09499,0.1908,0.08737,0.06403,1.03831,18.6582,1.53586,0.0001625,0.0001625,0.0001625
2,19.1181,1.06681,2.71087,1.42865,0.40513,0.3305,0.2639,0.1853,0.96797,3.62688,1.41409,0.000327971,0.000327971,0.000327971
3,26.3414,0.99367,2.39044,1.36306,0.41139,0.38443,0.34086,0.23942,0.93918,2.93294,1.35679,0.0004901,0.0004901,0.0004901
4,33.5411,0.97569,2.10199,1.28925,0.57087,0.43867,0.39142,0.27069,0.92722,2.64519,1.34478,0.000606437,0.000606437,0.000606437
5,40.9605,0.99463,1.98565,1.31953,0.56417,0.49756,0.47719,0.33486,0.9088,2.47794,1.33258,0.00060025,0.00060025,0.00060025
6,48.2847,0.97453,1.95032,1.30818,0.63638,0.52446,0.53279,0.39777,0.90188,1.99131,1.33027,0.000594062,0.000594062,0.000594062
7,55.2706,0.95839,1.8082,1.2708,0.60679,0.59867,0.58171,0.41379,0.93649,2.60211,1.36861,0.000587875,0.000587875,0.000587875
8,62.1386,0.97488,1.65893,1.29115,0.75636,0.59785,0.71459,0.5127,0.8776,1.65713,1.29158,0.000581687,0.000581687,0.000581687
9,68.8886,0.94122,1.64506,1.25746,0.64984,0.64511,0.70476,0.5119,0.85863,1.72738,1.25972,0.0005755,0.0005755,0.0005755
10,75.5577,0.91291,1.441,1.24541,0.71461,0.63965,0.71271,0.52562,0.83877,1.56635,1.23681,0.000569313,0.000569313,0.000569313
11,82.2714,0.92718,1.42999,1.2443,0.77488,0.67474,0.76432,0.58089,0.7956,1.25121,1.21077,0.000563125,0.000563125,0.000563125
12,89.1082,0.87167,1.40267,1.21609,0.77297,0.69054,0.77947,0.58914,0.80238,1.23832,1.21161,0.000556938,0.000556938,0.000556938
13,95.9836,0.94105,1.35314,1.24738,0.71605,0.76048,0.81667,0.63329,0.75829,1.1184,1.18034,0.00055075,0.00055075,0.00055075
14,102.772,0.87404,1.3599,1.22614,0.75518,0.73783,0.81397,0.62993,0.77517,1.09948,1.20539,0.000544563,0.000544563,0.000544563
15,109.291,0.8902,1.29631,1.22174,0.76255,0.7926,0.83881,0.65242,0.73304,0.97847,1.16118,0.000538375,0.000538375,0.000538375
16,116.134,0.88362,1.23048,1.22177,0.76344,0.75948,0.83234,0.64809,0.72007,1.0187,1.14954,0.000532187,0.000532187,0.000532187
17,123.031,0.82165,1.13713,1.18171,0.7749,0.75857,0.85576,0.67972,0.71648,0.92825,1.13645,0.000526,0.000526,0.000526
18,130.041,0.85532,1.1356,1.18579,0.79862,0.78054,0.87069,0.68836,0.73593,0.93927,1.14496,0.000519812,0.000519812,0.000519812
19,137.308,0.8501,1.20152,1.18513,0.7967,0.83414,0.87465,0.68751,0.74025,0.88677,1.14596,0.000513625,0.000513625,0.000513625
20,144.274,0.83276,1.09109,1.18139,0.81753,0.77576,0.86616,0.69457,0.72099,0.91297,1.13701,0.000507438,0.000507438,0.000507438
21,151.368,0.86815,1.14647,1.22455,0.79136,0.78839,0.85485,0.6961,0.69834,0.8591,1.11571,0.00050125,0.00050125,0.00050125
22,158.249,0.82059,1.11184,1.18315,0.76196,0.83367,0.86061,0.69744,0.66489,0.86254,1.10135,0.000495063,0.000495063,0.000495063
23,165.274,0.82131,1.02114,1.16988,0.81841,0.84405,0.88383,0.7256,0.66706,0.80282,1.10398,0.000488875,0.000488875,0.000488875
24,172.46,0.86755,1.12198,1.24468,0.85334,0.83948,0.91198,0.73972,0.66892,0.77591,1.10755,0.000482687,0.000482687,0.000482687
25,179.452,0.81755,1.06606,1.17516,0.86046,0.83114,0.9145,0.74421,0.65761,0.77056,1.0982,0.0004765,0.0004765,0.0004765
26,186.273,0.79693,0.9354,1.14515,0.86242,0.87487,0.92109,0.76494,0.63571,0.66193,1.07452,0.000470312,0.000470312,0.000470312
