epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9314,1.00831,2.20046,2.95523,1.26491,0,0.66854,0.2538,0.26865,0.21239,0.67016,0.25497,0.26505,0.20672,0.69046,1.49795,2.01786,1.10126,0,0.00012762,0.00012762,0.00012762
2,39.2483,0.87303,1.82561,1.94158,1.16826,0,0.69657,0.32863,0.36965,0.29798,0.68628,0.33814,0.36139,0.28322,0.70578,1.44104,1.60514,1.09221,0,0.00025342,0.00025342,0.00025342
3,57.509,0.86629,1.77691,1.66124,1.14531,0,0.70144,0.3769,0.42683,0.34397,0.7046,0.37803,0.43498,0.32751,0.68566,1.56857,1.44968,1.06965,0,0.000376678,0.000376678,0.000376678
4,75.7153,0.84942,1.74041,1.53392,1.12856,0,0.72464,0.41416,0.46707,0.3878,0.72002,0.4095,0.46211,0.36603,0.69014,1.42224,1.35259,1.07579,0,0.000373565,0.000373565,0.000373565
5,94.0638,0.82165,1.67491,1.40484,1.11613,0,0.68674,0.57383,0.52814,0.43969,0.68728,0.57496,0.52776,0.42014,0.61729,1.37166,1.15894,1.02213,0,0.000369754,0.000369754,0.000369754
6,112.468,0.80425,1.6411,1.31456,1.10906,0,0.70351,0.54672,0.54197,0.44428,0.70404,0.54582,0.53719,0.43436,0.68969,1.36513,1.08541,1.0701,0,0.000365942,0.000365942,0.000365942
7,130.7,0.78784,1.628,1.23062,1.08858,0,0.60298,0.51758,0.54558,0.45574,0.85382,0.43149,0.54332,0.44078,0.64294,1.47973,1.0965,1.04945,0,0.000362131,0.000362131,0.000362131
8,149.181,0.77031,1.53848,1.22746,1.08839,0,0.64343,0.56715,0.58813,0.47391,0.63944,0.54851,0.58366,0.45179,0.65456,1.29779,1.0323,1.06021,0,0.000358319,0.000358319,0.000358319
9,168.473,0.75878,1.57597,1.18309,1.07848,0,0.68759,0.53744,0.60045,0.50071,0.68437,0.52923,0.59539,0.47018,0.60306,1.40842,0.99606,1.02833,0,0.000354508,0.000354508,0.000354508
10,187.644,0.75949,1.53713,1.1279,1.07549,0,0.75663,0.45192,0.5722,0.49238,0.76307,0.44338,0.56465,0.46076,0.60557,1.37583,1.00379,1.01906,0,0.000350697,0.000350697,0.000350697
11,206.747,0.74295,1.49925,1.11213,1.07741,0,0.6175,0.56618,0.58465,0.48253,0.61669,0.56443,0.57402,0.45581,0.62701,1.3967,0.97419,1.03322,0,0.000346885,0.000346885,0.000346885
12,225.472,0.74063,1.51679,1.06988,1.06746,0,0.77927,0.56864,0.68014,0.5816,0.75883,0.55378,0.66226,0.54189,0.60787,1.30096,0.93641,1.0238,0,0.000343074,0.000343074,0.000343074
13,244.692,0.70609,1.39472,1.02849,1.04819,0,0.70231,0.56065,0.61545,0.52708,0.70063,0.5581,0.61225,0.49155,0.59554,1.33538,0.92612,1.00517,0,0.000339262,0.000339262,0.000339262
14,263.372,0.71452,1.44951,1.00416,1.05331,0,0.64501,0.64009,0.63532,0.53416,0.63305,0.59922,0.60796,0.49795,0.61782,1.39619,0.93207,1.02506,0,0.00033545,0.00033545,0.00033545
15,282.485,0.71295,1.38445,0.97689,1.04475,0,0.65836,0.58305,0.62618,0.5436,0.65461,0.57895,0.62224,0.51423,0.56844,1.28594,0.8287,1.00665,0,0.000331639,0.000331639,0.000331639
16,301.151,0.68467,1.4316,0.96227,1.02876,0,0.63136,0.59055,0.62457,0.5141,0.62227,0.5784,0.60709,0.47837,0.61976,1.27907,0.94153,1.03824,0,0.000327827,0.000327827,0.000327827
17,320.572,0.70015,1.4224,0.93971,1.04476,0,0.81026,0.54147,0.66898,0.58237,0.7962,0.53109,0.65759,0.54399,0.56812,1.30004,0.83929,0.99106,0,0.000324016,0.000324016,0.000324016
18,339.749,0.70205,1.39404,0.92681,1.03763,0,0.74223,0.52874,0.66806,0.58593,0.73754,0.52425,0.66752,0.54515,0.55985,1.28461,0.8481,0.99836,0,0.000320204,0.000320204,0.000320204
19,358.889,0.67479,1.37361,0.92904,1.03634,0,0.69649,0.57198,0.66305,0.54728,0.69765,0.5722,0.66119,0.52751,0.59166,1.32109,0.87632,1.02383,0,0.000316393,0.000316393,0.000316393
20,378.409,0.67401,1.37636,0.904,1.02921,0,0.68667,0.6272,0.7018,0.58538,0.83817,0.54599,0.69153,0.54796,0.60784,1.35787,0.84408,1.03508,0,0.000312581,0.000312581,0.000312581
21,397.631,0.69296,1.3682,0.90536,1.03376,0,0.77274,0.6206,0.69877,0.58865,0.77508,0.62117,0.69117,0.54885,0.56859,1.26052,0.78718,1.00688,0,0.00030877,0.00030877,0.00030877
22,416.943,0.66314,1.31017,0.85287,1.01477,0,0.74043,0.60299,0.68675,0.60726,0.74099,0.60322,0.68162,0.57029,0.57712,1.31874,0.8383,1.00842,0,0.000304958,0.000304958,0.000304958
23,436.149,0.65462,1.33866,0.84092,1.018,0,0.82395,0.62214,0.7056,0.58761,0.8137,0.61567,0.69189,0.54314,0.58562,1.33602,0.8072,1.02699,0,0.000301147,0.000301147,0.000301147
24,455.112,0.6394,1.31517,0.81739,1.01367,0,0.78041,0.61201,0.67093,0.57906,0.77186,0.60443,0.65503,0.55075,0.57874,1.4201,0.87832,1.00852,0,0.000297335,0.000297335,0.000297335
25,474.337,0.6493,1.31893,0.80806,1.00405,0,0.59529,0.684,0.70657,0.62141,0.58695,0.67407,0.68831,0.58759,0.55253,1.30245,0.75662,0.99836,0,0.000293524,0.000293524,0.000293524
26,492.983,0.63366,1.2931,0.79468,1.00336,0,0.8481,0.60251,0.76359,0.67748,0.84736,0.60304,0.76019,0.64337,0.54538,1.28592,0.74502,0.99554,0,0.000289712,0.000289712,0.000289712
27,512.197,0.63629,1.24805,0.79141,1.00993,0,0.68816,0.67781,0.73164,0.63221,0.67548,0.66919,0.71493,0.59326,0.57302,1.30727,0.7858,1.02112,0,0.000285901,0.000285901,0.000285901
28,530.796,0.64629,1.30203,0.80709,1.01327,0,0.73595,0.68358,0.6976,0.58777,0.7207,0.67175,0.67998,0.55073,0.61675,1.36,0.86049,1.03893,0,0.000282089,0.000282089,0.000282089
29,549.782,0.62825,1.26891,0.77094,1.0003,0,0.73846,0.62186,0.73234,0.61872,0.72938,0.60949,0.71496,0.56887,0.57055,1.31117,0.77945,1.02074,0,0.000278278,0.000278278,0.000278278
30,568.879,0.62416,1.25013,0.7526,0.99791,0,0.83928,0.59783,0.71174,0.62664,0.82575,0.58601,0.6888,0.58764,0.56058,1.38014,0.80617,1.01702,0,0.000274466,0.000274466,0.000274466
31,587.635,0.62701,1.26619,0.76909,1.004,0,0.60028,0.68545,0.68671,0.5952,0.5839,0.66591,0.66588,0.56655,0.57686,1.30394,0.80116,1.02905,0,0.000270655,0.000270655,0.000270655
32,606.571,0.63619,1.24812,0.75464,1.00334,0,0.76086,0.62389,0.73884,0.62476,0.72569,0.62896,0.72711,0.59786,0.60546,1.39818,0.87852,1.04077,0,0.000266843,0.000266843,0.000266843
33,625.809,0.61395,1.22507,0.73984,0.991,0,0.71777,0.70055,0.7526,0.63081,0.71905,0.70095,0.74886,0.59969,0.57237,1.28712,0.73348,1.02958,0,0.000263032,0.000263032,0.000263032
34,645.035,0.59846,1.22495,0.72286,0.98963,0,0.70157,0.69615,0.7078,0.60991,0.70223,0.69608,0.70498,0.5761,0.57071,1.26963,0.82191,1.01785,0,0.00025922,0.00025922,0.00025922
35,664.104,0.60738,1.21907,0.7142,0.9876,0,0.8579,0.5927,0.69949,0.61362,0.85302,0.58514,0.68645,0.5828,0.56489,1.37276,0.78006,1.0257,0,0.000255409,0.000255409,0.000255409
36,683.145,0.61425,1.23473,0.73239,0.99525,0,0.71024,0.61669,0.6851,0.5994,0.71645,0.61761,0.68449,0.5632,0.57657,1.36595,0.80713,1.0334,0,0.000251597,0.000251597,0.000251597
37,702.064,0.61212,1.22614,0.72386,0.9882,0,0.76414,0.61956,0.68449,0.61256,0.75791,0.60972,0.6729,0.56371,0.54474,1.32319,0.77688,1.00748,0,0.000247786,0.000247786,0.000247786
38,720.914,0.60303,1.20647,0.70105,0.98382,0,0.68178,0.69089,0.69374,0.62083,0.67543,0.68628,0.67504,0.574,0.52465,1.33603,0.6999,0.984,0,0.000243974,0.000243974,0.000243974
39,740.14,0.60183,1.20845,0.68357,0.98755,0,0.66636,0.60017,0.70668,0.60547,0.66712,0.6008,0.7024,0.55365,0.55174,1.35072,0.81774,1.01466,0,0.000240163,0.000240163,0.000240163
40,758.866,0.59638,1.16335,0.66313,0.98135,0,0.69453,0.64301,0.70524,0.62765,0.6967,0.64517,0.70284,0.57836,0.56343,1.37096,0.75091,1.01545,0,0.000236351,0.000236351,0.000236351
41,777.887,0.58213,1.18118,0.66855,0.98022,0,0.64704,0.61953,0.69163,0.60579,0.64045,0.61064,0.67145,0.56393,0.55499,1.34801,0.72926,1.01139,0,0.00023254,0.00023254,0.00023254
42,796.329,0.59226,1.1963,0.69234,0.97533,0,0.64376,0.71349,0.6927,0.60777,0.60969,0.70986,0.6757,0.57207,0.56633,1.32647,0.75365,1.02738,0,0.000228729,0.000228729,0.000228729
43,815.197,0.58152,1.17034,0.66527,0.97889,0,0.82612,0.61864,0.72618,0.60257,0.81423,0.60993,0.70827,0.56456,0.60325,1.36121,0.77799,1.06226,0,0.000224917,0.000224917,0.000224917
44,834.412,0.58066,1.16363,0.65218,0.98019,0,0.73916,0.63858,0.68891,0.60057,0.73146,0.62979,0.6787,0.55989,0.553,1.37253,0.74855,1.01599,0,0.000221106,0.000221106,0.000221106
45,853.122,0.57102,1.13194,0.6271,0.97003,0,0.70373,0.66705,0.71792,0.63055,0.61566,0.72338,0.70091,0.59377,0.55023,1.30073,0.72726,1.00244,0,0.000217294,0.000217294,0.000217294
46,872.737,0.57564,1.14452,0.65542,0.97398,0,0.73763,0.58232,0.67814,0.60095,0.73078,0.57609,0.67436,0.5695,0.55399,1.34771,0.76368,1.00034,0,0.000213482,0.000213482,0.000213482
47,891.618,0.56493,1.14396,0.62317,0.96749,0,0.74549,0.652,0.70142,0.6243,0.73558,0.64544,0.68944,0.58203,0.54921,1.27813,0.72881,1.01446,0,0.000209671,0.000209671,0.000209671
48,910.537,0.57146,1.13735,0.63579,0.97259,0,0.8153,0.60955,0.72299,0.62808,0.80494,0.59847,0.70306,0.59571,0.54497,1.27557,0.74738,1.02182,0,0.00020586,0.00020586,0.00020586
49,929.283,0.56631,1.14503,0.62673,0.97055,0,0.855,0.57537,0.69909,0.61061,0.84967,0.56616,0.68673,0.57883,0.56504,1.28641,0.73053,1.03606,0,0.000202048,0.000202048,0.000202048
50,948.023,0.56496,1.12575,0.61082,0.97344,0,0.73797,0.66203,0.714,0.61923,0.73694,0.66082,0.70566,0.58976,0.57065,1.34032,0.73122,1.03632,0,0.000198236,0.000198236,0.000198236
51,967.237,0.57015,1.12958,0.59929,0.97166,0,0.81521,0.6157,0.71683,0.62383,0.81544,0.59047,0.69104,0.58403,0.55423,1.2897,0.76656,1.03075,0,0.000194425,0.000194425,0.000194425
52,986.172,0.55559,1.12446,0.58244,0.96369,0,0.75773,0.59783,0.70067,0.61828,0.74961,0.58802,0.68629,0.58703,0.54031,1.32799,0.70556,1.01494,0,0.000190613,0.000190613,0.000190613
53,1005.3,0.55592,1.10505,0.59165,0.9653,0,0.88796,0.60488,0.71209,0.62128,0.85108,0.58497,0.67252,0.56831,0.55956,1.51894,0.7294,1.02865,0,0.000186802,0.000186802,0.000186802
54,1024.53,0.55781,1.12739,0.59986,0.97158,0,0.78955,0.6141,0.69034,0.61073,0.7899,0.59684,0.66632,0.56627,0.54918,1.43887,0.7363,1.02079,0,0.00018299,0.00018299,0.00018299
55,1043.85,0.54492,1.10253,0.58283,0.95924,0,0.72405,0.69907,0.74875,0.6646,0.71588,0.69018,0.72582,0.62696,0.53902,1.45164,0.70373,1.01283,0,0.000179179,0.000179179,0.000179179
56,1062.84,0.53851,1.055,0.57047,0.95645,0,0.86824,0.63284,0.72043,0.63502,0.85446,0.61866,0.69156,0.58575,0.55521,1.36152,0.71129,1.0325,0,0.000175367,0.000175367,0.000175367
57,1081.59,0.54966,1.11324,0.58066,0.96255,0,0.78562,0.59482,0.70148,0.61706,0.77673,0.58603,0.68423,0.57498,0.56499,1.44508,0.74946,1.04687,0,0.000171556,0.000171556,0.000171556
58,1100.75,0.54267,1.09338,0.58058,0.95843,0,0.65102,0.7645,0.79216,0.67637,0.86578,0.61507,0.76575,0.62086,0.54594,1.37424,0.68537,1.01646,0,0.000167745,0.000167745,0.000167745
59,1119.65,0.5473,1.09724,0.55989,0.95834,0,0.81203,0.69275,0.77837,0.6937,0.80255,0.68293,0.75789,0.64933,0.53162,1.40675,0.6987,1.00943,0,0.000163933,0.000163933,0.000163933
60,1138.67,0.55319,1.08956,0.57111,0.95803,0,0.83701,0.69752,0.78589,0.678,0.82728,0.68907,0.77214,0.63713,0.55719,1.36822,0.67351,1.02977,0,0.000160122,0.000160122,0.000160122
61,1157.34,0.52294,1.0623,0.54369,0.94822,0,0.80686,0.64357,0.74046,0.64627,0.77394,0.65111,0.72482,0.60573,0.54378,1.40335,0.7358,1.02875,0,0.00015631,0.00015631,0.00015631
62,1176.38,0.53225,1.09147,0.55564,0.95852,0,0.74149,0.58987,0.70277,0.62664,0.73041,0.57525,0.67806,0.59266,0.53802,1.352,0.76388,1.02708,0,0.000152498,0.000152498,0.000152498
63,1195.33,0.53527,1.05777,0.54595,0.95057,0,0.72794,0.68148,0.74503,0.62815,0.71998,0.67412,0.72749,0.59657,0.52771,1.40893,0.68253,1.01187,0,0.000148687,0.000148687,0.000148687
64,1214.01,0.53328,1.08418,0.5416,0.95078,0,0.69859,0.6756,0.69894,0.6169,0.69576,0.65606,0.67082,0.57431,0.526,1.36246,0.68589,1.01368,0,0.000144875,0.000144875,0.000144875
65,1233.1,0.53068,1.07632,0.54759,0.95282,0,0.70865,0.65737,0.71003,0.62108,0.70377,0.64876,0.69096,0.5812,0.51793,1.29362,0.67589,1.00108,0,0.000141064,0.000141064,0.000141064
66,1252,0.52695,1.09351,0.53612,0.95335,0,0.79079,0.63577,0.69975,0.61379,0.77766,0.62823,0.67189,0.57295,0.51482,1.42041,0.70653,1.0129,0,0.000137252,0.000137252,0.000137252
67,1271.35,0.52063,1.05963,0.51037,0.94451,0,0.72542,0.68029,0.74048,0.63179,0.71537,0.67127,0.7164,0.59327,0.50948,1.39602,0.68507,1.00324,0,0.000133441,0.000133441,0.000133441
